대분류,중분류,화면ID,화면명,핵심기능,CRUD,엑셀,외부연동,비고
발송(MP),스티커인쇄,MP3911,선물발송용스티커인쇄,"선물 발송 스티커 데이터 엑셀 (선물명 범위/발송구분: 정상/재발송)",R,O,,
발송(MP),스티커인쇄,MP3916,단행본발송용출력,"단행본 발송 스티커 데이터 엑셀",R,O,,
발송(MP),지로출력,MP3918,지로데이터출력,"DM업체 발송 지로 데이터 엑셀",R,O,,
발송(MP),발송배치,MP3944,구독자라벨출력,"정규발송 일괄배치 예약, 발송작업예약/취소",CRU,O,,배치예약
영업(SD),입금관리,SD3515,입금관리(영업),"거래처 결제 관리, 입금내역 CRUD, Ecount-ERP 코드 자동변환 (다운로드 시 담당자코드→ERP코드/업로드 시 ERP코드→CS코드), 양식다운로드/엑셀업로드",CRUD,O,Ecount-ERP,코드자동변환
영업(SD),재고관리,SD3530,재고수불부관리,"Ecount-ERP 엑셀 업로드 (양식다운로드→데이터입력→업로드→저장)",CRU,O,Ecount-ERP,엑셀Import
관리자(MP),반송관리,MP3901,반송인쇄,"반송 도서 리포트 출력",R,,,리포트
관리자(MP),반송관리,FW3410,반송관리,"반송 도서/선물/지로 CRUD",CRUD,O,,
관리자(MP),반송관리,FW3411,도서재발송관리,"재발송 도서 CRUD",CRUD,O,,
관리자(MP),반송관리,FW3412,지로재발송관리,"지로 재발송 CRUD",CRUD,O,,
관리자(MP),반송관리,FW3143,선물재발송관리,"선물 재발송 CRUD",CRUD,O,,
관리자(MP),발송현황,MP3903,지로발송현황,"지로 발송 현황 조회",R,O,,
관리자(MP),발송현황,MP3904,선물발송현황,"선물 발송 현황 조회",R,O,,
관리자(MP),발송현황,MP3905,신규도서발송현황,"신규 도서 발송 현황 조회",R,O,,
관리자(MP),발송현황,MP3912,월호별구독자현황조회,"월호별 구독자 현황 조회",R,O,,
관리자(MP),발송현황,MP3913,기간별선물발송건수조회,"기간별 선물 발송 건수 조회",R,O,,
관리자(MP),발송현황,MP3915,재발송내역조회,"재발송 내역 조회",R,O,,
관리자(MP),발송현황,MP3945,일일발송작업종류 및 수량,"일일 발송 작업 종류/수량 조회",R,O,,
관리자(MP),매출통계,MP3917,기간별주문상세리스트 출력,"기간별 주문 상세 리스트 조회",R,O,,
관리자(MP),매출통계,MP3920,기간별연장구독건수 조회,"기간별 연장 구독 건수 조회",R,O,,
관리자(MP),매출통계,MP3922,미발행부수 확인,"미발행 부수 확인",R,O,,
관리자(MP),매출통계,MP3923,월호별지역정기구독건수,"월호별 지역 정기구독 건수",R,O,,
관리자(MP),매출통계,MP3942,장기구독자명단,"장기 구독자 명단 조회",R,O,,
관리자(MP),매출통계,MP3925,다인기증자현황,"다인 기증자 현황 조회",R,O,,
관리자(MP),매출통계,MP3926,월호별구독자국내외지역별발송현황,"월호별 구독자 국내외 지역별 발송 현황",R,O,,
관리자(MP),매출통계,MP3927,잡지별일일현황매출건수,"잡지별 일일 현황 매출 건수",R,O,,
관리자(MP),매출통계,MP3928,월별매출및정기구독건수,"월별 매출 및 정기구독 건수",R,O,,
관리자(MP),매출통계,MP3929,담당자별매출 및 접수건수,"담당자별 매출 및 접수 건수",R,O,,
관리자(MP),매출통계,MP3930,일일입금액(누계),"일일 입금액 누계",R,O,,
관리자(MP),매출통계,MP3931,월별입금액(누계),"월별 입금액 누계",R,O,,
관리자(MP),매출통계,MP3932,월별만료자및부수,"월별 만료자 및 부수",R,O,,
관리자(MP),매출통계,MP3933,미납현황(월별연간),"미납 현황 (월별/연간)",R,O,,
관리자(MP),운영관리,MP3934,월별구독만료자아웃바운드자료분배,"구독만료자 아웃바운드 자료 분배",CRU,O,,콜센터용
관리자(MP),운영관리,MP3936,월별접수종합상황표,"월별 접수 종합 상황표",R,O,,
관리자(MP),운영관리,MP3938,매출현황(일별),"일별 매출 현황",R,O,,
관리자(MP),운영관리,MP3939,매출현황(월별),"월별 매출 현황",R,O,,
관리자(MP),운영관리,MP3941,일일실적관리보고서,"일일 실적 관리 보고서",R,O,,
관리자(MP),운영관리,SS3213,도서주문재구독현황,"도서 주문 재구독 현황",R,O,,화면ID는 SS계열
관리자(MP),운영관리,SS3218,작업자별정산,"작업자별 정산",R,O,,화면ID는 SS계열
관리자(MP),운영관리,MP3946,영업실적 및 매출현황,"영업 실적 및 매출 현황",R,O,,
관리자(MP),영업리포트,MP3947,파트별 총입금액,"파트별 총입금액",R,O,,
관리자(MP),영업리포트,MP3948,영업팀별 실적,"영업팀별 실적",R,O,,
관리자(MP),영업리포트,MP3950,좋은생각 영업파트별 판매현황,"좋은생각 영업파트별 판매 현황",R,O,,
관리자(MP),영업리포트,MP3951,큰글씨좋은생각 영업파트별 판매현황,"큰글씨좋은생각 영업파트별 판매 현황",R,O,,
추가프로그램,현금영수증,,현금영수증 발행내역,"현금영수증 조회, 구독순번 수정",RU,O,,
추가프로그램,현금영수증,,현금영수증 미발행내역,"미발행 내역 조회",R,O,,
